,code,region
388,11.02.04.2008,Batu Mbulan II
389,11.02.04.2009,Kampung Raja
390,11.02.04.2010,Pulonas
391,11.02.04.2011,Kampung Melayu Gabungan
392,11.02.04.2012,Terutung Pedi
393,11.02.04.2013,Kute Rih
394,11.02.04.2014,Gumpang Jaya
395,11.02.04.2015,Pulo Latong
396,11.02.04.2016,Kutacane Lama
397,11.02.04.2017,Batu Mbulan Mbaru
398,11.02.04.2018,Pulo Peding
399,11.02.04.2019,Mendabe
400,11.02.04.2020,Ujung Barat
401,11.02.04.2021,Pekhapat Titi Panjang
402,11.02.04.2022,Pekhapat Sepakat
403,11.02.04.2023,Alas Marantcar
404,11.02.04.2024,Batu Mbulan Sepakat
405,11.02.04.2025,Pulo Sanggakh
406,11.02.04.2026,Melayu I
407,11.02.04.2027,Mbarung Datuk Saudane
408,11.02.05,Badar
409,11.02.05.2005,Salang Alas
410,11.02.05.2009,Kuta Pasir
411,11.02.05.2011,Purwodadi
412,11.02.05.2012,Kuta Tinggi
413,11.02.05.2013,Kampung Baru
414,11.02.05.2014,Peranginan
415,11.02.05.2015,Natam
416,11.02.05.2025,Kumbang Jaya
417,11.02.05.2026,Kumbang Indah
418,11.02.05.2027,Natam Baru
419,11.02.05.2029,Deleng Megakhe
420,11.02.05.2030,Lawe Bekung
421,11.02.05.2031,Lawe Bekung Tampahan
422,11.02.05.2032,Badar Indah
423,11.02.05.2033,Batu Mbekhong
424,11.02.05.2034,Tanah Merah
425,11.02.05.2035,Tanoh Megakhe
426,11.02.05.2036,Lawe Sekerah
427,11.02.06,Babul Makmur
428,11.02.06.2001,Pardomuan II
429,11.02.06.2002,Lawe Desky I
430,11.02.06.2003,Lawe Desky Sabas
431,11.02.06.2004,Pardomuan I
432,11.02.06.2005,Cinta Damai
433,11.02.06.2006,Pardamean
434,11.02.06.2007,Lawe Desky Tongah
435,11.02.06.2008,Kute Bakti
436,11.02.06.2010,Muara Situlen
437,11.02.06.2011,Sejahtera
438,11.02.06.2012,Kute Makmur
439,11.02.06.2013,Pardamean
440,11.02.06.2014,Lawe Mantik
441,11.02.06.2015,Cinta Makmur
442,11.02.06.2016,Muara Setia
443,11.02.06.2017,Tanoh Alas
444,11.02.06.2018,Sejahtera Baru
445,11.02.06.2024,Lawe Tawakh
446,11.02.06.2025,Sabilussalam
447,11.02.06.2026,Lawe Desky Jaya
448,11.02.06.2027,Pintu Alas
449,11.02.07,Darul Hasanah
450,11.02.07.2001,Gulo
451,11.02.07.2002,Pulo Piku
452,11.02.07.2003,Terutung Kute
453,11.02.07.2004,Kute Ujung
454,11.02.07.2005,Lawe Stul
455,11.02.07.2006,Kite Merangun
456,11.02.07.2007,Mamas
457,11.02.07.2008,Tanjung Lama
458,11.02.07.2009,Tanjung Muda
459,11.02.07.2010,Rambung Teldak
460,11.02.07.2011,Tanjung Aman
461,11.02.07.2012,Sri Muda
462,11.02.07.2013,Ujung Baru
463,11.02.07.2014,Kute Rambe
464,11.02.07.2015,Mamas Baru
465,11.02.07.2016,Rambung Jaya
466,11.02.07.2017,Makmur Jaya
467,11.02.07.2018,Darul Makmur
468,11.02.07.2019,Tanjung Bakhu
469,11.02.07.2020,Pulo Gabung
470,11.02.07.2021,Kokhtan Jaya
471,11.02.07.2022,Istiqamah
472,11.02.07.2023,Lawe Mamas Indah
473,11.02.07.2024,Tanjung Leuser
474,11.02.07.2025,Simpang IV Tanjung
475,11.02.07.2026,Lawe Pinis
476,11.02.07.2027,Buntul Kendawi
477,11.02.07.2028,Kuning Abadi
478,11.02.08,Lawe Bulan
479,11.02.08.2001,Pasir Gala
480,11.02.08.2002,Pasir Penjengakan
481,11.02.08.2003,Kutambaru
482,11.02.08.2004,Lawe Sagu Hulu
483,11.02.08.2005,Lawe Sagu Hilir
484,11.02.08.2006,Kute Bantil
485,11.02.08.2011,Lawe Kolok
486,11.02.08.2012,Lawe Rutung
487,11.02.08.2013,Kampung Nangka
488,11.02.08.2014,Tenembak Juhar
489,11.02.08.2015,Simpang Empat
490,11.02.08.2016,Kuta Buluh Botong
491,11.02.08.2017,Katambaru Becawan
492,11.02.08.2018,Lawe Kinge
493,11.02.08.2019,Kandang Mbelang Mandiri
494,11.02.08.2020,Mbacang Racun
495,11.02.08.2021,Telaga Mekar
496,11.02.08.2023,Pulonas Baru
497,11.02.08.2025,Kuta Genting
498,11.02.08.2026,Lawe Sagu Baru
499,11.02.08.2027,Lawe Sagu
500,11.02.08.2028,Pekhapet Timur
501,11.02.08.2029,Bahagia
502,11.02.08.2030,Kute Galuh Asli
503,11.02.09,Bukit Tusam
504,11.02.09.2001,Kute Lengat Pangan
505,11.02.09.2002,Kute Lengat Selian
506,11.02.09.2003,Tualang Baru
507,11.02.09.2004,Alur Buluh
508,11.02.09.2005,Maha Singkil
509,11.02.09.2006,Tenembak Bintang
510,11.02.09.2007,Kute Lingga
511,11.02.09.2008,Rikit Bur
512,11.02.09.2010,Kerukunan
513,11.02.09.2011,Lawe Dua
514,11.02.09.2012,Rema
515,11.02.09.2013,Bambel Baru
516,11.02.09.2014,Pejuang
517,11.02.09.2015,Darussalam
518,11.02.09.2016,Amaliah
519,11.02.09.2017,Sebudi Jaya
520,11.02.09.2018,Gumpang
521,11.02.09.2019,Kute Gekhat
522,11.02.09.2020,Paye Khambung
523,11.02.09.2021,Mbak Sako
524,11.02.09.2022,Darul Imami
525,11.02.09.2023,Rikit Bur II
526,11.02.09.2024,Kute Empat Lima
527,11.02.10,Semadam
528,11.02.10.2001,Simpang Semadam
529,11.02.10.2002,Semadam Awal
530,11.02.10.2003,Semadam Asal
531,11.02.10.2004,Lawe Kinga Gabungan
532,11.02.10.2005,Lawe Kinga Tebing Tinggi
533,11.02.10.2006,Kebun Sere
534,11.02.10.2007,Lawe Beringin Horas
535,11.02.10.2008,Lawe. Berigin Gayo
536,11.02.10.2009,Suka Makmur
537,11.02.10.2010,Pasar Puntung
538,11.02.10.2011,Titi Pasir
539,11.02.10.2012,Lawe Petanduk I
540,11.02.10.2013,Ngkeran Alur Buluh
541,11.02.10.2014,Kampung Baru
542,11.02.10.2015,Sepakat Segenap
543,11.02.10.2016,Selamat Indah
544,11.02.10.2017,Lawe Kinge Lapter
545,11.02.10.2018,Lawe Mejile
546,11.02.10.2019,Lawe Petanduk-II
547,11.02.11,Babul Rahmah
548,11.02.11.2004,Titi Mas
549,11.02.11.2005,Meranti
550,11.02.11.2006,Kute Lang-Lang
551,11.02.11.2007,Lawe Sumur
552,11.02.11.2008,Pardamaian
553,11.02.11.2009,Salim Pipit
554,11.02.11.2010,Penguhapan
555,11.02.11.2011,Lumban Tua
